3,44,0.2124,0.3041
3,57,0.6797,0.2124
4,36,0.508,0.740
7,1,0.350,0.157
7,14,0.41,0.35
7,22,0.32,0.32
8,43,0.46,0.25
9,97,0.420,0.604
10,21,0.12,0.45
10,78,0.420,0.43
12,75,1.21,0.63
15,31,0.3,0.4
15,72,0.3,0.5
22,117,0.297,0.28
22,170,0.420,0.717
23,6,0.297,0.420
24,12,0.290,0.300
25,151,1.8288,2.4384
26,134,1.8288,2.4384
33,30,0.31,0.54
34,30,0.16,0.34
37,53,0.297,0.498
37,62,0.129,0.498
53,25,0.56,0.35
84,69,0.65,0.63
86,145,0.35,0.20
87,104,0.42,0.297
88,54,0.265,0.42
88,78,0.42,0.26
88,78,0.42,0.297
97,103,0.12,0.14
99,89,0.42,0.297
102,47,0.21,0.297
102,76,0.297,0.42
105,72,0.35,0.30
123,24,0.297,0.21
145,6,0.247,0.369
146,2,0.297,0.25
162,30,0.35,0.35
166,9,0.42,0.594
199,24,0.42,0.3
202,64,0.5,0.2
232,43,0.45,0.45
232,54,0.45,0.45
232,71,0.90,0.45
